,date,open,high,low,close,volume,average,barCount,bid_date,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_date,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
8054,2022-12-06 10:14:00-05:00,176.75,177.2,176.72,177.0,3186.33,176.943,1271,2022-12-06 10:14:00-05:00,176.75,177.17,176.71,177.0,-1.0,-1.0,-1.0,2022-12-06 10:14:00-05:00,176.79,177.2,176.73,177.02,-1.0,-1.0,-1.0
8055,2022-12-06 10:15:00-05:00,177.0,177.26,176.61,176.62,3625.26,176.931,1464,2022-12-06 10:15:00-05:00,177.0,177.24,176.6,176.6,-1.0,-1.0,-1.0,2022-12-06 10:15:00-05:00,177.02,177.29,176.62,176.62,-1.0,-1.0,-1.0
8056,2022-12-06 10:16:00-05:00,176.61,176.96,176.21,176.45,3324.87,176.587,1233,2022-12-06 10:16:00-05:00,176.6,176.95,176.2,176.39,-1.0,-1.0,-1.0,2022-12-06 10:16:00-05:00,176.62,176.98,176.24,176.45,-1.0,-1.0,-1.0
8057,2022-12-06 10:17:00-05:00,176.39,176.7,176.15,176.27,2775.64,176.414,993,2022-12-06 10:17:00-05:00,176.39,176.69,176.15,176.23,-1.0,-1.0,-1.0,2022-12-06 10:17:00-05:00,176.45,176.7,176.2,176.28,-1.0,-1.0,-1.0
8058,2022-12-06 10:18:00-05:00,176.25,176.39,175.96,176.13,2830.18,176.184,1045,2022-12-06 10:18:00-05:00,176.23,176.36,175.96,176.11,-1.0,-1.0,-1.0,2022-12-06 10:18:00-05:00,176.28,176.39,175.97,176.14,-1.0,-1.0,-1.0
8059,2022-12-06 10:19:00-05:00,176.13,176.61,176.13,176.43,2282.46,176.385,822,2022-12-06 10:19:00-05:00,176.11,176.58,176.11,176.43,-1.0,-1.0,-1.0,2022-12-06 10:19:00-05:00,176.14,176.61,176.14,176.48,-1.0,-1.0,-1.0
8060,2022-12-06 10:20:00-05:00,176.47,177.1,176.43,177.06,2765.04,176.741,923,2022-12-06 10:20:00-05:00,176.43,177.07,176.42,177.03,-1.0,-1.0,-1.0,2022-12-06 10:20:00-05:00,176.48,177.1,176.46,177.07,-1.0,-1.0,-1.0
8061,2022-12-06 10:21:00-05:00,177.07,177.49,177.01,177.17,4034.19,177.232,1413,2022-12-06 10:21:00-05:00,177.03,177.44,177.01,177.14,-1.0,-1.0,-1.0,2022-12-06 10:21:00-05:00,177.07,177.49,177.02,177.2,-1.0,-1.0,-1.0
8062,2022-12-06 10:22:00-05:00,177.16,177.28,176.92,177.21,2550.86,177.102,932,2022-12-06 10:22:00-05:00,177.14,177.25,176.9,177.18,-1.0,-1.0,-1.0,2022-12-06 10:22:00-05:00,177.2,177.28,176.92,177.23,-1.0,-1.0,-1.0
8063,2022-12-06 10:23:00-05:00,177.21,177.47,177.04,177.21,2019.55,177.286,734,2022-12-06 10:23:00-05:00,177.18,177.44,177.04,177.21,-1.0,-1.0,-1.0,2022-12-06 10:23:00-05:00,177.23,177.47,177.08,177.25,-1.0,-1.0,-1.0
